0.00065700,0.03638150,0.00921770,0.04139879,0.01586139,0.14476633,0.01122770,0.03233947,0.01439280,0.00672430,0.01863788,0.00120019,0.00507596,0.03489380,0.01827757,0.14254378,0.00799378,0.01988489,0.01764710,0.11412417,0.02430377,0.05166169,0.05085005,0.04349797,0.10838562,0.01889360
0.00172661,0.00211581,0.01813370,0.00118647,0.00710011,0.02301782,0.00960332,0.01452422,0.01250421,0.00320054,0.02365840,0.00074205,0.00461515,0.01920533,0.00598916,0.00660960,0.02260936,0.00570970,0.00280507,0.12212143,0.02502866,0.23320479,0.08671751,0.02545317,0.20321042,0.00098063
0.01548228,0.00566868,0.04289496,0.01114711,0.01291934,0.01405057,0.02658469,0.01208884,0.47810425,0.08381994,0.01209306,0.03867174,0.00094820,0.01846553,0.03569893,0.00909259,0.02824017,0.01117416,0.01321447,0.03183490,0.01504268,0.03392597,0.00245520,0.01418167,0.01701084,0.00403792
0.00246271,0.06121512,0.04460447,0.03800626,0.08008709,0.00487239,0.06800327,0.02007018,0.00866911,0.00520801,0.02723947,0.02317352,0.00223376,0.00463375,0.03515260,0.00298766,0.03715542,0.03778558,0.05977675,0.00652490,0.01577973,0.00149638,0.00036768,0.03784196,0.00458616,0.05792444
0.00091579,0.02560775,0.01997630,0.05610674,0.08715656,0.02902170,0.01351318,0.00711493,0.02800644,0.02887638,0.01997316,0.01994807,0.00059170,0.00175809,0.01428618,0.00316663,0.00263829,0.00664007,0.07950587,0.02022181,0.01331436,0.00065170,0.00008821,0.11688777,0.01040949,0.35223362
0.00327671,0.06492795,0.08063265,0.02211415,0.16936480,0.00231066,0.13341935,0.00905495,0.01159101,0.00282938,0.02059857,0.09140660,0.00018716,0.00118769,0.03476641,0.00120157,0.08546966,0.01872597,0.27303111,0.00770633,0.01424531,0.00127683,0.00004896,0.08724199,0.01425512,0.22037226
0.10919258,0.05388752,0.00232549,0.07615739,0.00845729,0.00317292,0.02549564,0.02052186,0.02302558,0.01935903,0.03669251,0.09694262,0.01509375,0.01393268,0.02555565,0.01222840,0.00905967,0.08697551,0.02622401,0.00070580,0.00109235,0.00082313,0.00088545,0.04515599,0.00035829,0.01126703
0.01236493,0.00946311,0.02591755,0.03655439,0.00152864,0.00383932,0.04211888,0.12902834,0.00253396,0.01735624,0.00648756,0.00391644,0.03346007,0.17892463,0.17242666,0.04519452,0.07456371,0.02805917,0.00320390,0.00142271,0.05498026,0.02016643,0.00929910,0.00070017,0.00195892,0.00010342
0.06946232,0.03324362,0.00264312,0.09816330,0.01439511,0.00817040,0.01159592,0.02546005,0.01851646,0.05341987,0.02255965,0.09843650,0.00486256,0.01491827,0.01956476,0.01600043,0.00503073,0.04033572,0.04295228,0.00326470,0.00134122,0.00028007,0.00046013,0.09436231,0.00111166,0.07769708
0.27899828,0.00981246,0.00986818,0.02639611,0.00856997,0.00157172,0.02731926,0.03121500,0.00604640,0.10854987,0.03082309,0.05215316,0.02733207,0.01784537,0.04413277,0.00279439,0.00920011,0.02086319,0.01711470,0.00015317,0.00237869,0.00022802,0.00042982,0.01630394,0.00015224,0.00570487
0.00059403,0.06636766,0.00479970,0.03682203,0.00513817,0.43225918,0.01110682,0.06963841,0.00606122,0.00856331,0.00761332,0.00014669,0.00097225,0.06453421,0.04496487,0.87563855,0.01080525,0.14008433,0.02083387,0.05048288,0.00212094,0.04847675,0.02412750,0.00351367,0.01892877,0.00293431
0.04063634,0.01784009,0.01569616,0.03896416,0.03441281,0.02538384,0.01276339,0.01891710,0.36117899,0.47594896,0.01609907,0.03184830,0.00230723,0.00889348,0.02019139,0.00859539,0.00881022,0.02054459,0.03102359,0.01603265,0.00277170,0.00071390,0.00047071,0.05708333,0.00298898,0.11645414
0.00478393,0.10940951,0.00735235,0.09696646,0.02129388,0.00927352,0.03557144,0.03459500,0.00692689,0.00434294,0.02152141,0.00712824,0.02025539,0.02026098,0.03778169,0.01895737,0.03320335,0.06322538,0.03382075,0.00861608,0.01288345,0.00537757,0.00611709,0.03946462,0.00769524,0.02051219
0.00097657,0.00979038,0.03460414,0.01995862,0.01070699,0.00650030,0.02286450,0.03157282,0.00742336,0.00466266,0.01357246,0.00356835,0.01120228,0.03339904,0.02631054,0.00476285,0.01521611,0.00654806,0.00589111,0.02330911,0.10895390,0.02256022,0.01499557,0.01696651,0.02605290,0.00313371
